Teff,logg
8696.77,4.2818
8800.00,3.9764
8774.19,4.3964
8103.23,3.9636
8670.97,4.3073
8774.19,4.3200
8748.39,4.3836
8154.84,3.9509
8232.26,3.9382
8722.58,4.2945
8206.45,3.9509
8387.10,4.6000
8335.48,4.5873
8722.58,3.9255
8025.81,3.9382
8180.65,3.9509
8412.90,4.6000
8077.42,3.9509
8696.77,4.3455
8670.97,4.3200
8748.39,3.9382
8051.61,3.9509
8774.19,3.9636
8361.29,4.6000
8129.03,3.9509
8722.58,4.3709
8258.06,3.9255
8103.23,3.9509
8696.77,4.2945
8748.39,4.3200
8025.81,3.9255
8154.84,3.9382
8774.19,4.3836
8800.00,3.9636
8696.77,4.3327
8335.48,4.6000
8232.26,3.9255
8206.45,3.9382
8180.65,3.9382
8748.39,4.3709
8077.42,3.9382
8258.06,3.9000
8722.58,4.3073
8774.19,4.3327
8722.58,3.9127
8774.19,3.9509
8051.61,3.9382
8258.06,3.9127
8748.39,3.9255
8129.03,3.9382
8103.23,3.9382
8696.77,4.3200
8025.81,3.9127
8696.77,4.3073
8206.45,3.9000
8722.58,4.3582
8232.26,3.9000
8722.58,3.9000
8154.84,3.9255
8232.26,3.9127
8206.45,3.9127
8774.19,4.3709
8180.65,3.9255
8206.45,3.9255
8748.39,4.3327
8800.00,3.9509
8051.61,3.9255
8748.39,4.3582
8077.42,3.9255
8774.19,3.9382
8722.58,4.3455
8722.58,4.3200
8748.39,3.9127
8180.65,3.9000
8025.81,3.9000
8103.23,3.9255
8774.19,4.3455
8129.03,3.9255
8180.65,3.9127
8722.58,4.3327
8051.61,3.9127
8774.19,3.9255
8800.00,3.9382
8154.84,3.9127
8774.19,4.3582
8748.39,3.9000
8077.42,3.9127
8748.39,4.3455
8103.23,3.9127
8774.19,3.9127
8800.00,3.9255
8051.61,3.9000
8129.03,3.9127
8154.84,3.9000
8077.42,3.9000
8800.00,3.9127
8774.19,3.9000
8103.23,3.9000
8129.03,3.9000
8800.00,3.9000
8645.16,4.5873
8696.77,3.9764
8774.19,4.5745
8000.00,4.5109
8774.19,4.0145
8593.55,4.6000
8129.03,4.5873
8722.58,3.9891
8645.16,3.9382
8748.39,4.0018
8154.84,4.6000
8025.81,4.5364
8670.97,4.5873
8800.00,4.5745
8696.77,4.5873
8670.97,3.9509
8619.35,4.6000
8593.55,3.9000
8722.58,4.5873
8077.42,4.5745
8000.00,4.5236
8619.35,3.9127
8051.61,4.5618
8696.77,3.9636
8748.39,4.5873
8800.00,4.0145
8103.23,4.5873
8645.16,4.6000
8774.19,4.0018
8722.58,3.9764
8645.16,3.9255
8129.03,4.6000
8025.81,4.5491
8774.19,4.5873
8748.39,3.9891
8670.97,4.6000
8670.97,3.9382
8800.00,4.5873
8000.00,4.5364
8696.77,4.6000
8696.77,3.9509
8619.35,3.9000
8051.61,4.5745
8077.42,4.5873
8722.58,4.6000
8800.00,4.0018
8103.23,4.6000
8722.58,3.9636
8025.81,4.5618
8645.16,3.9127
8748.39,4.6000
8774.19,3.9891
8748.39,3.9764
8774.19,4.6000
8670.97,3.9255
8000.00,4.5491
8696.77,3.9382
8800.00,4.6000
8051.61,4.5873
8077.42,4.6000
8722.58,3.9509
8800.00,3.9891
8025.81,4.5745
8645.16,3.9000
8774.19,3.9764
8748.39,3.9636
8670.97,3.9127
8000.00,4.5618
8696.77,3.9255
8051.61,4.6000
8722.58,3.9382
8025.81,4.5873
8800.00,3.9764
8748.39,3.9509
8774.19,3.9636
8670.97,3.9000
8000.00,4.5745
8696.77,3.9127
8722.58,3.9255
8025.81,4.6000
8800.00,3.9636
8748.39,3.9382
8774.19,3.9509
8000.00,4.5873
8696.77,3.9000
8722.58,3.9127
8748.39,3.9255
8800.00,3.9509
8774.19,3.9382
8000.00,4.6000
8722.58,3.9000
8748.39,3.9127
8800.00,3.9382
8774.19,3.9255
8748.39,3.9000
8774.19,3.9127
8800.00,3.9255
8774.19,3.9000
8800.00,3.9127
8800.00,3.9000
