Teff,logg
8206.45,3.9382
8387.10,4.5873
8206.45,4.0273
8696.77,4.3073
8180.65,4.1164
8541.94,4.5873
8258.06,3.9891
8774.19,4.3709
8722.58,4.3327
8774.19,4.5618
8748.39,4.5873
8258.06,3.9127
8309.68,4.6000
8103.23,4.1291
8800.00,3.9891
8180.65,3.9127
8154.84,3.9127
8206.45,3.9255
8722.58,3.9382
8258.06,3.9255
8619.35,4.5745
8774.19,3.9509
8593.55,4.5873
8670.97,4.2564
8490.32,4.6000
8232.26,4.0400
8180.65,3.9255
8206.45,4.0400
8774.19,4.3073
8258.06,3.9764
8748.39,4.3709
8232.26,3.9255
8258.06,3.9382
8361.29,4.6000
8154.84,3.9000
8232.26,4.0273
8051.61,4.1800
8077.42,4.1673
8800.00,3.9764
8206.45,4.0782
8206.45,4.0527
8206.45,4.0655
8722.58,4.3200
8670.97,4.2691
8748.39,3.9382
8232.26,4.0145
8800.00,4.5364
8670.97,4.2945
8258.06,3.9509
8232.26,3.9636
8232.26,3.9764
8103.23,4.1418
8232.26,3.9509
8516.13,4.5873
8258.06,3.9636
8283.87,4.6000
8387.10,4.6000
8232.26,3.9891
8232.26,3.9382
8567.74,4.6000
8232.26,4.0018
8800.00,3.9636
8748.39,4.3200
8774.19,4.3582
8541.94,4.6000
8774.19,3.9382
8774.19,4.5745
8645.16,4.2691
8619.35,4.5873
8670.97,4.2818
8748.39,4.6000
8645.16,4.2945
8619.35,4.6000
8748.39,4.3582
8593.55,4.6000
8800.00,4.5491
8800.00,3.9509
8748.39,3.9255
8774.19,4.3200
8645.16,4.2818
8774.19,3.9255
8516.13,4.6000
8748.39,4.3455
8774.19,4.3455
8774.19,4.5873
8800.00,3.9382
8748.39,4.3327
8800.00,4.5618
8748.39,3.9127
8774.19,3.9127
8800.00,3.9255
8748.39,3.9000
8774.19,4.3327
8774.19,4.6000
8800.00,4.5745
8800.00,3.9127
8774.19,3.9000
8800.00,4.5873
8800.00,3.9000
8800.00,4.6000
8645.16,4.5873
8696.77,3.9764
8774.19,4.5745
8000.00,4.5109
8774.19,4.0145
8593.55,4.6000
8129.03,4.5873
8722.58,3.9891
8645.16,3.9382
8748.39,4.0018
8154.84,4.6000
8025.81,4.5364
8670.97,4.5873
8800.00,4.5745
8696.77,4.5873
8670.97,3.9509
8619.35,4.6000
8593.55,3.9000
8722.58,4.5873
8077.42,4.5745
8000.00,4.5236
8619.35,3.9127
8051.61,4.5618
8696.77,3.9636
8748.39,4.5873
8800.00,4.0145
8103.23,4.5873
8645.16,4.6000
8774.19,4.0018
8722.58,3.9764
8645.16,3.9255
8129.03,4.6000
8025.81,4.5491
8774.19,4.5873
8748.39,3.9891
8670.97,4.6000
8670.97,3.9382
8800.00,4.5873
8000.00,4.5364
8696.77,4.6000
8696.77,3.9509
8619.35,3.9000
8051.61,4.5745
8077.42,4.5873
8722.58,4.6000
8800.00,4.0018
8103.23,4.6000
8722.58,3.9636
8025.81,4.5618
8645.16,3.9127
8748.39,4.6000
8774.19,3.9891
8748.39,3.9764
8774.19,4.6000
8670.97,3.9255
8000.00,4.5491
8696.77,3.9382
8800.00,4.6000
8051.61,4.5873
8077.42,4.6000
8722.58,3.9509
8800.00,3.9891
8025.81,4.5745
8645.16,3.9000
8774.19,3.9764
8748.39,3.9636
8670.97,3.9127
8000.00,4.5618
8696.77,3.9255
8051.61,4.6000
8722.58,3.9382
8025.81,4.5873
8800.00,3.9764
8748.39,3.9509
8774.19,3.9636
8670.97,3.9000
8000.00,4.5745
8696.77,3.9127
8722.58,3.9255
8025.81,4.6000
8800.00,3.9636
8748.39,3.9382
8774.19,3.9509
8000.00,4.5873
8696.77,3.9000
8722.58,3.9127
8748.39,3.9255
8800.00,3.9509
8774.19,3.9382
8000.00,4.6000
8722.58,3.9000
8748.39,3.9127
8800.00,3.9382
8774.19,3.9255
8748.39,3.9000
8774.19,3.9127
8800.00,3.9255
8774.19,3.9000
8800.00,3.9127
8800.00,3.9000
